timestamp,open,high,low,close,vol
1643686200,74.7500,74.7525,74.6650,74.7050,211
1643686380,74.7050,74.7125,74.7000,74.7025,141
1643686560,74.7025,74.7025,74.6825,74.6875,120
1643686740,74.6875,74.6875,74.6675,74.6675,323
1643686920,74.6675,74.6725,74.6675,74.6725,131
1643687100,74.6725,74.6925,74.6725,74.6925,172
1643687280,74.6925,74.7175,74.6925,74.7175,403
1643687460,74.7175,74.7175,74.6850,74.6850,314
1643687640,74.6850,74.7050,74.6850,74.7025,58
1643687820,74.7025,74.7025,74.6775,74.6875,252
1643688000,74.6875,74.7050,74.6875,74.7000,81
1643688180,74.7000,74.7100,74.7000,74.7000,113
1643688360,74.7000,74.7000,74.6525,74.6550,51
1643688540,74.6550,74.6650,74.6325,74.6400,1161
1643688720,74.6400,74.6400,74.6225,74.6350,77
1643688900,74.6350,74.6350,74.6200,74.6300,84
1643689080,74.6300,74.6400,74.6300,74.6300,26
1643689260,74.6300,74.6300,74.6175,74.6175,21
1643689440,74.6175,74.6200,74.6175,74.6200,12
1643689620,74.6200,74.6200,74.5925,74.5925,194
1643689800,74.5925,74.6150,74.5900,74.6150,212
1643689980,74.6150,74.6525,74.6150,74.6500,337
1643690160,74.6500,74.6525,74.6050,74.6175,524
1643690340,74.6175,74.6175,74.5600,74.5725,225
1643690520,74.5725,74.5725,74.5325,74.5525,667
1643690700,74.5525,74.5750,74.5475,74.5650,352
1643690880,74.5650,74.5650,74.5225,74.5375,239
1643691060,74.5375,74.5700,74.5375,74.5700,399
1643691240,74.5625,74.5650,74.5525,74.5650,30
1643691420,74.5650,74.5975,74.5650,74.5975,237
1643691600,74.5975,74.6000,74.5875,74.5950,103
1643691780,74.5950,74.6100,74.5925,74.6025,35
1643691960,74.6025,74.6550,74.6025,74.6550,292
1643692140,74.6550,74.7050,74.6500,74.6650,404
1643692320,74.6650,74.6900,74.6600,74.6600,76
1643692500,74.6600,74.6650,74.6500,74.6550,66
1643692680,74.6550,74.6800,74.6350,74.6725,80
1643692860,74.6725,74.6800,74.6700,74.6775,50
1643693040,74.6725,74.6800,74.6700,74.6800,80
1643693220,74.6800,74.6850,74.6775,74.6775,24
